learner_id,course_track,weekly_login_hours,forum_posts,completion_pct
55,Web Dev,1.9,4.0,40.0
56,Data Science,10.1,2.0,100.0
57,Web Dev,4.9,4.0,63.6
58,Design,12.3,8.0,100.0
59,Data Science,7.2,5.0,92.7
60,Design,5.2,4.0,49.8
61,Design,6.3,4.0,73.0
62,Data Science,4.8,2.0,62.0
63,Data Science,9.7,0.0,100.0
64,Design,5.9,0.0,68.4
65,Design,6.5,4.0,91.9
66,Data Science,3.8,5.0,44.0
67,Data Science,7.4,6.0,96.0
68,Design,2.2,0.0,44.7
69,Data Science,4.3,1.0,55.6
70,Design,9.0,5.0,78.3
71,Web Dev,0.8,2.0,26.3
72,Data Science,6.6,6.0,63.3
73,Web Dev,8.8,6.0,100.0
74,Data Science,6.2,0.0,85.8
75,Web Dev,9.6,6.0,73.2
76,Data Science,9.0,3.0,100.0
77,Web Dev,7.1,2.0,74.6
78,Web Dev,1.9,5.0,25.6
79,Web Dev,4.7,2.0,48.7
80,Data Science,5.1,0.0,86.8
81,Data Science,8.4,6.0,85.8
82,Web Dev,5.6,5.0,57.7
83,Data Science,5.1,5.0,80.8
84,Data Science,2.6,4.0,45.9
85,Web Dev,5.3,0.0,44.4
86,Data Science,6.3,4.0,100.0
87,Design,0.0,9.0,23.4
88,Data Science,5.6,5.0,62.4
89,Design,6.7,4.0,100.0
90,Design,5.1,4.0,68.2
91,Data Science,5.3,3.0,74.1
92,Design,4.3,4.0,52.2
93,Web Dev,7.9,4.0,95.9
94,Data Science,4.3,2.0,67.6
95,Design,8.6,3.0,96.0
96,Data Science,6.6,3.0,97.3
97,Web Dev,0.9,4.0,26.6
98,Design,4.9,11.0,51.7
99,Design,6.4,2.0,61.1
100,Data Science,7.8,0.0,100.0
101,Web Dev,6.0,3.0,75.4
102,Web Dev,5.4,0.0,60.6
103,Design,7.7,9.0,98.4
104,Design,9.6,2.0,100.0
105,Web Dev,1.2,3.0,22.9
106,Web Dev,4.1,4.0,38.0
107,Design,9.9,6.0,97.5
108,Web Dev,6.4,2.0,60.8
109,Data Science,3.3,5.0,52.0
110,Data Science,9.9,3.0,100.0
111,Data Science,10.6,4.0,100.0
112,Data Science,5.2,5.0,43.7
113,Web Dev,7.6,2.0,77.7
114,Web Dev,5.8,8.0,73.1
115,Web Dev,6.6,3.0,81.3
116,Design,8.2,6.0,91.4
117,Data Science,5.1,2.0,63.5
118,Web Dev,5.6,4.0,67.5
119,Data Science,5.0,1.0,79.9
120,Data Science,1.5,6.0,34.7
121,Design,6.9,4.0,69.8
122,Web Dev,7.8,2.0,93.2
123,Design,6.1,0.0,80.5
124,Data Science,5.8,10.0,61.9
125,Design,7.7,5.0,77.4
126,Web Dev,4.0,6.0,37.1
127,Web Dev,3.1,8.0,44.3
128,Web Dev,6.8,5.0,81.7
129,Data Science,6.1,8.0,74.6
130,Data Science,10.0,4.0,99.5
131,Data Science,2.2,5.0,32.7
132,Design,5.6,9.0,67.6
133,Web Dev,2.7,1.0,52.9
134,Design,11.0,5.0,100.0
135,Design,4.7,2.0,60.5
136,Data Science,7.6,9.0,100.0
137,Web Dev,0.2,3.0,18.7
138,Data Science,3.3,5.0,50.6
139,Data Science,7.6,4.0,79.2
140,Design,4.7,1.0,75.5
141,Design,4.2,3.0,67.7
142,Data Science,7.4,2.0,88.2
143,Data Science,6.0,7.0,79.9
144,Web Dev,6.1,2.0,59.0
145,Data Science,6.4,7.0,71.8
146,Design,4.6,5.0,60.7
147,Data Science,9.6,7.0,100.0
148,Web Dev,8.3,8.0,61.9
149,Web Dev,5.4,7.0,82.5
150,Data Science,4.9,6.0,76.0
151,Web Dev,1.2,2.0,16.5
152,Design,3.0,4.0,48.3
153,Web Dev,9.1,5.0,91.4
154,Web Dev,2.9,7.0,36.3
155,Web Dev,4.7,4.0,53.0
156,Data Science,9.9,4.0,100.0
157,Web Dev,8.4,10.0,92.0
158,Design,6.6,6.0,77.8
159,Web Dev,6.8,6.0,88.8
160,Web Dev,5.0,2.0,59.9
161,Web Dev,6.2,3.0,63.2
162,Design,5.9,3.0,71.7
163,Web Dev,9.1,1.0,100.0
164,Data Science,7.7,4.0,92.3
165,Data Science,4.0,5.0,74.3
166,Web Dev,9.3,2.0,95.3
167,Design,7.9,3.0,71.6
168,Data Science,8.6,7.0,100.0
169,Design,9.0,0.0,100.0
170,Web Dev,7.8,4.0,85.8
171,Design,6.4,8.0,74.9
172,Data Science,9.2,7.0,91.4
173,Design,8.8,6.0,92.4
174,Design,5.4,9.0,67.7
175,Web Dev,5.6,8.0,65.1
176,Data Science,6.6,6.0,65.7
177,Design,7.3,2.0,82.7
178,Web Dev,5.9,0.0,59.5
179,Design,2.6,2.0,45.3
180,Web Dev,8.9,8.0,96.7
181,Design,4.4,2.0,64.2
182,Web Dev,3.2,3.0,36.3
183,Design,3.9,7.0,54.6
184,Data Science,6.1,3.0,81.4
185,Web Dev,5.4,5.0,67.4
186,Data Science,0.3,0.0,41.0
187,Data Science,2.1,2.0,31.3
188,Design,2.0,2.0,45.7
189,Web Dev,4.0,2.0,65.1
190,Design,6.2,0.0,72.4
191,Data Science,4.3,1.0,50.4
192,Web Dev,10.7,6.0,100.0
193,Design,8.0,4.0,87.9
194,Design,9.5,6.0,100.0
195,Design,7.7,2.0,97.3
196,Web Dev,2.8,9.0,50.3
197,Web Dev,7.1,2.0,62.3
198,Design,2.3,3.0,50.2
199,Web Dev,3.5,5.0,28.5
200,Web Dev,6.5,2.0,66.1
201,Data Science,6.1,4.0,56.9
202,Web Dev,7.5,8.0,87.3
203,Design,5.4,6.0,59.1
204,Design,8.7,3.0,100.0
205,Design,8.0,8.0,78.7
206,Web Dev,6.9,2.0,79.4
207,Design,4.3,3.0,73.1
208,Design,4.6,5.0,54.8
209,Data Science,8.7,5.0,100.0
210,Web Dev,13.2,0.0,100.0
211,Web Dev,5.0,5.0,62.9
212,Data Science,6.6,3.0,65.9
213,Web Dev,4.0,0.0,53.4
214,Data Science,0.1,0.0,46.5
215,Web Dev,7.7,0.0,84.4
216,Design,6.6,0.0,81.0
217,Design,7.8,6.0,100.0
218,Design,4.6,8.0,51.4
219,Design,4.1,3.0,55.5
220,Data Science,9.8,4.0,100.0
221,Design,3.8,4.0,45.0
222,Web Dev,7.8,7.0,92.4
223,Design,8.5,5.0,100.0
224,Design,6.1,9.0,78.0
225,Data Science,4.7,5.0,65.4
226,Data Science,6.7,8.0,84.8
227,Design,1.7,0.0,15.0
228,Web Dev,5.4,1.0,70.5
229,Web Dev,5.2,4.0,52.3
230,Web Dev,2.6,3.0,53.5
231,Design,5.4,1.0,56.1
232,Data Science,8.2,1.0,100.0
233,Web Dev,11.7,0.0,100.0
234,Web Dev,3.4,4.0,42.3
235,Web Dev,7.2,3.0,61.5
236,Design,7.1,6.0,83.5
237,Web Dev,5.4,2.0,68.7
238,Data Science,4.7,4.0,77.0
239,Design,7.3,6.0,71.5
240,Design,7.9,6.0,67.4
241,Web Dev,2.6,3.0,51.0
242,Web Dev,9.8,4.0,71.9
243,Web Dev,5.7,9.0,54.7
244,Web Dev,6.4,0.0,83.2
245,Web Dev,4.7,5.0,56.9
246,Web Dev,9.1,5.0,80.4
247,Design,2.8,3.0,39.3
248,Web Dev,4.9,0.0,75.7
249,Web Dev,6.4,4.0,71.1
250,Data Science,3.8,2.0,52.5
251,Data Science,5.5,3.0,84.4
252,Data Science,7.3,2.0,79.8
253,Web Dev,8.9,1.0,96.2
254,Web Dev,5.6,4.0,81.1
255,Data Science,4.9,0.0,47.3
256,Web Dev,7.2,6.0,71.3
257,Web Dev,6.3,4.0,80.9
258,Data Science,3.5,3.0,53.6
259,Data Science,8.2,4.0,100.0
260,Data Science,5.4,7.0,69.5
261,Web Dev,3.9,3.0,53.1
262,Data Science,8.4,7.0,79.8
263,Design,7.5,12.0,69.9
264,Web Dev,4.1,5.0,71.0
265,Data Science,7.7,6.0,81.8
266,Web Dev,4.3,3.0,57.9
267,Web Dev,4.7,4.0,55.1
268,Design,3.6,2.0,76.5
269,Data Science,8.1,9.0,74.3
270,Web Dev,5.7,2.0,73.4
271,Web Dev,7.5,6.0,82.2
272,Web Dev,2.8,2.0,30.2
273,Web Dev,4.9,4.0,56.6
274,Data Science,1.9,1.0,47.9
275,Data Science,4.4,1.0,95.2
276,Data Science,4.9,8.0,81.9
277,Design,5.4,7.0,72.1
278,Web Dev,2.1,5.0,39.4
279,Web Dev,8.5,3.0,74.9
280,Web Dev,1.9,3.0,19.2
281,Data Science,8.8,0.0,100.0
282,Web Dev,5.6,4.0,49.2
283,Web Dev,8.5,8.0,100.0
284,Design,3.4,1.0,54.8
285,Web Dev,6.2,11.0,89.0
286,Design,7.3,5.0,85.8
287,Data Science,11.2,8.0,100.0
288,Data Science,7.0,5.0,99.5
289,Design,10.3,0.0,95.8
290,Data Science,6.9,0.0,85.1
291,Design,9.5,8.0,98.7
292,Web Dev,6.1,7.0,62.5
293,Data Science,6.4,1.0,78.9
294,Web Dev,8.5,10.0,93.2
295,Data Science,3.2,3.0,43.3
296,Web Dev,2.3,14.0,57.0
297,Design,6.7,2.0,71.2
298,Design,11.5,7.0,100.0
299,Design,9.9,4.0,100.0
300,Data Science,6.6,1.0,78.5
301,Data Science,7.9,6.0,92.1
302,Data Science,6.9,1.0,86.4
303,Data Science,7.4,0.0,68.5
304,Design,9.9,3.0,100.0
305,Web Dev,3.6,0.0,38.2
306,Design,3.5,0.0,29.2
307,Data Science,1.7,2.0,44.0
308,Data Science,4.3,4.0,66.7
309,Web Dev,9.0,6.0,98.3
310,Web Dev,6.3,7.0,62.9
311,Data Science,3.2,3.0,41.8
312,Design,4.8,9.0,60.6
313,Web Dev,5.2,5.0,62.4
314,Data Science,8.9,3.0,100.0
315,Web Dev,7.6,7.0,83.3
316,Web Dev,7.4,8.0,88.6
317,Data Science,9.4,4.0,100.0
318,Data Science,7.8,2.0,70.7
319,Data Science,9.2,5.0,92.9
320,Web Dev,4.5,4.0,74.8
321,Data Science,4.1,0.0,63.4
322,Data Science,5.6,4.0,87.8
323,Design,11.5,3.0,100.0
324,Web Dev,3.7,4.0,50.7
325,Design,6.9,5.0,72.5
326,Design,7.7,8.0,98.4
327,Web Dev,4.1,1.0,73.0
328,Design,3.4,4.0,38.7
329,Design,11.5,6.0,100.0
330,Data Science,6.0,0.0,68.7
331,Data Science,5.5,8.0,74.6
332,Design,7.3,4.0,65.1
333,Data Science,6.6,12.0,66.2
334,Data Science,2.8,6.0,56.5
335,Design,2.0,1.0,39.8
336,Web Dev,5.8,4.0,68.6
337,Web Dev,4.4,3.0,74.6
338,Web Dev,6.1,5.0,63.5
339,Web Dev,3.3,0.0,46.4
340,Design,12.6,5.0,100.0
341,Data Science,7.4,3.0,89.0
342,Web Dev,11.2,3.0,100.0
343,Design,5.1,5.0,74.8
344,Design,6.1,4.0,70.1
345,Design,5.2,10.0,60.0
346,Design,6.6,5.0,61.6
347,Web Dev,7.5,6.0,65.8
348,Web Dev,5.2,2.0,44.6
349,Data Science,3.8,2.0,46.2
350,Data Science,4.7,9.0,61.7
351,Web Dev,5.9,2.0,73.5
352,Web Dev,8.4,0.0,74.0
353,Data Science,2.5,0.0,49.2
354,Data Science,4.4,1.0,78.9
355,Data Science,7.2,0.0,100.0
356,Design,9.5,1.0,93.9
357,Web Dev,5.1,8.0,94.4
358,Data Science,6.9,3.0,93.6
359,Web Dev,5.6,5.0,80.0
360,Design,5.5,10.0,86.9
361,Web Dev,6.5,2.0,63.5
362,Web Dev,4.8,2.0,55.9
363,Data Science,5.5,0.0,73.1
364,Design,5.3,7.0,69.3
365,Web Dev,9.9,5.0,91.4
366,Data Science,6.0,0.0,87.7
367,Data Science,10.1,8.0,100.0
368,Web Dev,5.7,7.0,72.5
369,Web Dev,6.4,0.0,82.6
370,Data Science,4.0,0.0,52.7
371,Data Science,6.5,6.0,98.1
372,Web Dev,9.4,0.0,90.3
373,Data Science,9.9,3.0,85.7
374,Data Science,3.3,5.0,67.3
375,Web Dev,12.0,5.0,100.0
376,Data Science,6.8,2.0,64.8
377,Design,7.3,6.0,78.0
378,Web Dev,8.4,8.0,95.4
379,Design,6.1,3.0,70.1
380,Design,3.9,12.0,61.0
381,Design,6.1,6.0,61.0
382,Web Dev,5.1,5.0,63.4
383,Web Dev,10.7,0.0,100.0
384,Design,6.1,1.0,67.1
385,Data Science,0.5,1.0,33.6
386,Data Science,9.2,7.0,100.0
387,Data Science,7.4,1.0,85.7
388,Data Science,5.9,8.0,70.8
389,Data Science,1.4,7.0,45.6
390,Data Science,14.0,2.0,100.0
391,Design,5.1,4.0,36.2
392,Data Science,5.1,9.0,66.6
393,Web Dev,4.6,2.0,51.9
394,Design,6.4,0.0,61.3
395,Web Dev,5.8,2.0,60.4
396,Design,6.7,5.0,67.2
397,Web Dev,7.2,7.0,100.0
398,Data Science,6.0,6.0,68.6
399,Web Dev,8.7,12.0,87.3
400,Design,3.4,8.0,24.3
401,Web Dev,8.3,5.0,85.5
402,Data Science,6.9,8.0,91.4
403,Web Dev,6.1,8.0,62.2
404,Data Science,7.8,5.0,96.0
405,Design,6.6,7.0,76.9
406,Data Science,6.5,6.0,78.3
407,Design,4.9,5.0,92.3
408,Web Dev,3.9,4.0,41.5
409,Data Science,2.4,1.0,47.4
410,Web Dev,2.9,4.0,27.1
411,Data Science,4.4,1.0,71.7
412,Data Science,8.0,6.0,83.8
413,Web Dev,5.4,5.0,56.8
414,Design,6.3,1.0,79.8
415,Data Science,3.4,4.0,44.7
416,Web Dev,2.2,3.0,46.5
417,Web Dev,6.1,0.0,47.9
418,Web Dev,11.6,2.0,100.0
419,Web Dev,3.2,4.0,35.9
420,Design,9.1,9.0,70.8
421,Design,3.0,4.0,55.3
422,Design,2.9,6.0,62.5
423,Web Dev,3.6,8.0,53.2
424,Web Dev,3.7,8.0,69.1
425,Data Science,7.8,5.0,100.0
426,Design,6.2,6.0,61.7
427,Web Dev,6.0,3.0,88.3
428,Design,4.5,3.0,55.1
429,Data Science,8.0,4.0,100.0
430,Design,10.2,4.0,100.0
431,Design,6.5,7.0,64.5
432,Web Dev,4.9,6.0,55.7
433,Data Science,3.2,7.0,38.4
434,Web Dev,5.0,0.0,66.7
435,Data Science,2.8,3.0,32.3
436,Design,9.1,4.0,100.0
437,Data Science,4.0,0.0,59.7
438,Web Dev,8.7,0.0,73.8
439,Web Dev,2.9,5.0,45.3
440,Data Science,8.0,10.0,79.1
441,Data Science,7.4,1.0,100.0
442,Design,7.8,4.0,89.6
443,Data Science,6.7,9.0,68.8
444,Web Dev,3.4,3.0,62.9
445,Web Dev,12.6,3.0,100.0
446,Web Dev,2.6,0.0,46.3
447,Web Dev,8.7,3.0,78.5
448,Web Dev,5.5,6.0,53.5
449,Design,3.3,7.0,74.4
450,Design,7.9,3.0,65.1
451,Web Dev,9.5,7.0,100.0
452,Web Dev,8.5,0.0,93.2
453,Web Dev,2.7,2.0,26.7
454,Data Science,4.1,5.0,41.9
455,Design,7.3,5.0,60.7
456,Data Science,6.9,7.0,95.2
457,Web Dev,8.2,3.0,76.7
458,Web Dev,5.4,0.0,75.1
459,Web Dev,1.6,7.0,39.1
460,Design,2.8,10.0,42.7
461,Design,6.4,5.0,68.4
462,Web Dev,3.2,3.0,39.3
463,Data Science,2.4,2.0,47.2
464,Web Dev,7.2,4.0,72.6
465,Data Science,9.1,0.0,85.9
466,Web Dev,4.1,4.0,49.3
467,Data Science,5.2,2.0,89.5
468,Web Dev,5.4,0.0,80.6
469,Web Dev,8.0,4.0,80.1
470,Web Dev,5.1,5.0,42.2
471,Web Dev,5.1,9.0,47.5
472,Design,5.6,4.0,55.5
473,Design,2.7,8.0,43.8
474,Data Science,8.9,2.0,99.1
475,Web Dev,9.5,2.0,100.0
476,Data Science,5.9,5.0,94.9
477,Data Science,6.1,1.0,74.7
478,Web Dev,6.3,4.0,84.3
479,Design,5.8,1.0,72.7
480,Web Dev,3.9,1.0,42.2
481,Design,7.4,2.0,75.6
482,Web Dev,7.6,6.0,72.1
483,Web Dev,8.3,3.0,66.3
484,Design,3.4,2.0,57.9
485,Design,6.2,8.0,83.6
486,Web Dev,2.6,3.0,48.0
487,Data Science,10.2,6.0,100.0
488,Design,2.0,5.0,37.7
489,Data Science,5.4,6.0,75.2
490,Data Science,9.6,4.0,100.0
491,Design,1.5,2.0,26.7
492,Web Dev,6.0,5.0,68.8
493,Web Dev,1.6,5.0,32.1
494,Data Science,8.0,6.0,100.0
495,Data Science,4.8,6.0,78.2
496,Design,4.3,5.0,41.9
497,Design,3.4,1.0,78.3
498,Web Dev,7.0,7.0,84.8
499,Web Dev,6.1,7.0,62.6
500,Design,7.5,4.0,64.6
501,Design,7.8,5.0,90.2
502,Web Dev,4.4,5.0,68.8
503,Data Science,6.5,9.0,70.6
504,Data Science,9.0,0.0,97.0
505,Web Dev,7.1,4.0,99.4
506,Design,6.9,6.0,89.1
507,Design,6.2,0.0,80.2
508,Design,4.9,3.0,68.1
509,Design,6.0,10.0,94.4
510,Design,5.8,1.0,62.8
511,Data Science,12.1,5.0,100.0
512,Web Dev,5.3,2.0,58.1
513,Web Dev,3.6,4.0,36.5
514,Design,6.9,2.0,59.2
515,Design,5.5,5.0,58.4
516,Data Science,4.5,0.0,53.9
517,Web Dev,8.0,10.0,79.8
518,Data Science,5.6,6.0,79.5
519,Web Dev,4.0,6.0,47.1
520,Design,7.4,4.0,71.4
521,Design,10.8,5.0,100.0
522,Data Science,9.3,4.0,96.9
523,Data Science,6.7,6.0,78.6
524,Design,6.8,4.0,90.9
525,Web Dev,6.0,4.0,64.6
526,Data Science,7.8,9.0,92.3
527,Data Science,5.5,8.0,69.2
528,Design,6.9,10.0,70.2
529,Design,5.6,8.0,70.6
530,Design,6.5,0.0,79.2
531,Design,1.1,6.0,28.2
532,Data Science,6.0,7.0,85.2
533,Data Science,4.6,6.0,65.4
534,Design,5.2,8.0,74.9
535,Data Science,6.9,8.0,77.3
536,Web Dev,2.9,6.0,52.6
537,Web Dev,3.8,7.0,57.7
538,Design,6.4,5.0,71.0
539,Data Science,6.1,9.0,70.4
540,Web Dev,8.2,1.0,79.9
541,Web Dev,6.8,1.0,64.6
542,Design,2.0,8.0,29.5
543,Data Science,7.0,0.0,78.6
544,Data Science,5.6,6.0,68.3
545,Design,6.3,5.0,96.0
546,Web Dev,8.4,9.0,88.2
547,Web Dev,6.2,2.0,60.1
548,Web Dev,5.5,2.0,81.6
549,Data Science,2.0,5.0,53.2
550,Web Dev,4.9,5.0,52.9
551,Data Science,8.0,3.0,100.0
552,Web Dev,7.3,2.0,84.8
553,Design,3.0,5.0,55.2
554,Web Dev,2.6,7.0,36.0
555,Web Dev,5.0,0.0,63.4
556,Data Science,7.1,8.0,83.1
557,Web Dev,4.1,6.0,47.0
558,Design,9.3,4.0,97.9
559,Data Science,11.2,2.0,100.0
560,Web Dev,3.2,3.0,43.0
561,Design,10.9,0.0,100.0
562,Web Dev,10.7,5.0,100.0
563,Design,0.9,5.0,33.8
564,Web Dev,1.9,4.0,33.2
565,Web Dev,5.5,6.0,50.9
566,Web Dev,5.9,1.0,54.6
567,Design,3.8,7.0,46.5
568,Data Science,5.9,4.0,83.6
569,Data Science,7.8,5.0,100.0
570,Design,3.7,5.0,62.6
571,Web Dev,0.3,5.0,20.0
572,Web Dev,5.1,7.0,67.1
573,Data Science,7.8,5.0,100.0
574,Web Dev,9.5,5.0,94.1
575,Data Science,8.5,2.0,59.5
576,Data Science,0.0,3.0,43.8
577,Web Dev,2.9,0.0,57.4
578,Data Science,5.6,5.0,78.7
579,Web Dev,3.7,4.0,65.9
580,Web Dev,7.2,4.0,89.8
581,Design,7.0,6.0,71.5
582,Design,8.1,3.0,73.8
583,Data Science,9.4,8.0,100.0
584,Data Science,4.6,1.0,52.7
585,Web Dev,10.3,9.0,100.0
586,Data Science,2.5,8.0,55.5
587,Design,3.3,3.0,31.5
588,Web Dev,3.3,6.0,45.7
589,Design,3.8,7.0,75.1
590,Design,7.6,3.0,84.2
591,Data Science,10.1,5.0,94.8
592,Design,2.3,7.0,41.7
593,Web Dev,7.8,6.0,82.5
594,Data Science,9.0,3.0,100.0
595,Data Science,6.7,0.0,76.2
596,Web Dev,1.1,6.0,46.2
597,Data Science,7.2,7.0,99.9
598,Design,8.3,9.0,100.0
599,Design,1.7,7.0,39.1
600,Data Science,4.9,1.0,85.2
601,Data Science,8.7,1.0,75.0
602,Web Dev,7.0,0.0,63.5
603,Web Dev,9.0,6.0,98.3
604,Data Science,9.3,3.0,100.0
605,Design,3.1,4.0,38.4
606,Design,3.2,2.0,50.0
607,Data Science,8.4,0.0,100.0
608,Web Dev,5.4,4.0,71.6
609,Design,8.3,0.0,69.5
610,Design,7.6,0.0,92.8
611,Web Dev,4.1,1.0,59.9
612,Web Dev,8.4,5.0,85.9
613,Data Science,7.2,7.0,76.6
614,Data Science,4.5,5.0,69.9
615,Design,4.8,4.0,57.4
616,Design,4.6,5.0,54.7
617,Design,6.7,6.0,85.5
618,Data Science,8.3,7.0,100.0
619,Design,7.3,1.0,79.4
620,Data Science,5.5,2.0,64.4
621,Web Dev,2.5,13.0,39.9
622,Design,6.1,0.0,64.8
623,Data Science,5.6,0.0,54.7
624,Design,4.2,2.0,61.9
625,Data Science,3.6,2.0,58.3
626,Design,9.7,1.0,88.3
627,Web Dev,9.5,9.0,94.0
628,Data Science,2.3,7.0,40.7
629,Design,8.2,1.0,76.1
630,Web Dev,6.7,11.0,86.4
631,Web Dev,10.2,3.0,100.0
632,Data Science,3.7,5.0,41.5
633,Data Science,8.1,2.0,71.8
634,Data Science,4.3,1.0,82.9
635,Web Dev,5.1,6.0,35.3
636,Design,6.2,9.0,81.8
637,Web Dev,8.0,6.0,92.2
638,Design,5.9,4.0,76.6
639,Data Science,1.8,4.0,27.7
640,Web Dev,7.7,8.0,81.6
641,Design,5.6,0.0,62.5
642,Web Dev,5.0,3.0,81.1
643,Web Dev,1.3,2.0,32.7
644,Design,4.5,4.0,39.5
645,Design,8.4,3.0,95.9
646,Data Science,8.7,2.0,100.0
647,Data Science,6.7,1.0,94.5
648,Data Science,3.4,5.0,50.4
649,Web Dev,7.5,11.0,84.0
650,Data Science,3.5,5.0,46.6
651,Web Dev,7.5,4.0,81.4
652,Web Dev,4.3,2.0,61.5
653,Data Science,1.8,6.0,47.9
654,Design,6.7,6.0,56.8
655,Design,6.1,10.0,72.9
656,Design,6.1,4.0,76.9
657,Design,3.4,9.0,52.4
658,Web Dev,3.0,2.0,14.0
659,Design,8.4,6.0,86.9
660,Web Dev,5.5,7.0,79.0
661,Web Dev,9.6,3.0,100.0
662,Data Science,9.6,0.0,100.0
663,Web Dev,2.9,5.0,45.6
664,Web Dev,4.7,6.0,45.0
665,Web Dev,0.0,8.0,14.8
666,Data Science,5.4,8.0,69.9
667,Design,3.9,10.0,75.9
668,Design,6.1,2.0,43.1
669,Data Science,4.7,9.0,79.4
670,Design,4.2,6.0,68.2
671,Design,3.5,7.0,63.4
672,Design,3.6,0.0,38.1
673,Data Science,8.6,6.0,99.9
674,Design,7.1,5.0,77.4
675,Web Dev,10.9,5.0,100.0
676,Design,7.5,12.0,78.1
677,Web Dev,4.6,3.0,50.0
678,Web Dev,4.4,3.0,48.2
679,Web Dev,9.6,5.0,87.2
680,Data Science,0.9,5.0,47.3
681,Design,5.9,1.0,57.6
682,Web Dev,5.2,1.0,53.6
683,Web Dev,0.4,4.0,33.9
684,Design,8.3,1.0,86.2
685,Design,5.7,6.0,65.0
686,Web Dev,5.1,3.0,73.4
687,Web Dev,3.5,0.0,48.4
688,Web Dev,5.5,6.0,71.8
689,Web Dev,5.3,6.0,62.6
690,Web Dev,8.2,6.0,62.3
691,Web Dev,4.8,5.0,50.2
692,Web Dev,11.7,6.0,100.0
693,Web Dev,4.2,3.0,49.0
694,Data Science,6.1,0.0,89.1
695,Data Science,4.1,3.0,53.4
696,Web Dev,7.8,3.0,81.2
697,Web Dev,4.7,3.0,51.5
698,Data Science,9.3,5.0,98.7
699,Web Dev,8.3,9.0,100.0
700,Web Dev,6.8,7.0,67.3
701,Design,1.6,6.0,10.3
702,Web Dev,5.7,6.0,56.0
703,Web Dev,5.6,1.0,44.4
704,Design,7.3,10.0,79.1
705,Web Dev,2.2,5.0,36.2
706,Web Dev,7.3,8.0,74.9
707,Design,7.4,8.0,72.3
708,Design,5.5,8.0,58.7
709,Design,6.4,10.0,46.5
710,Design,4.5,5.0,54.1
711,Data Science,8.1,7.0,85.2
712,Web Dev,2.8,4.0,61.1
713,Data Science,4.0,4.0,56.6
714,Web Dev,12.1,0.0,100.0
715,Design,5.5,5.0,54.6
716,Web Dev,5.6,4.0,64.2
717,Web Dev,3.4,5.0,59.1
718,Web Dev,5.1,2.0,49.5
719,Data Science,6.4,1.0,81.0
720,Data Science,2.8,5.0,48.4
721,Web Dev,2.2,4.0,46.8
722,Design,4.7,6.0,54.8
723,Web Dev,9.8,1.0,100.0
724,Design,5.1,0.0,59.6
725,Data Science,12.3,6.0,100.0
726,Data Science,8.9,5.0,100.0
727,Web Dev,7.5,5.0,83.1
728,Data Science,4.7,5.0,73.8
729,Web Dev,7.2,5.0,70.5
730,Data Science,13.3,4.0,100.0
731,Web Dev,2.6,2.0,42.1
732,Web Dev,6.9,5.0,80.7
733,Web Dev,10.1,4.0,100.0
734,Web Dev,8.4,3.0,88.3
735,Data Science,6.2,0.0,73.8
736,Design,4.8,3.0,67.8
737,Data Science,8.3,6.0,100.0
738,Web Dev,1.6,6.0,51.3
739,Design,10.4,0.0,100.0
740,Data Science,3.8,7.0,68.7
741,Web Dev,0.9,2.0,26.6
742,Design,5.1,7.0,60.4
